,Unnamed: 0,ac_adapter,audio_ports,backlit_keyboard,battery,bluetooth,brand,card_reader,color,color_gamut,core_name,cpu,cpu_l3_cache,cpu_speed,cpu_type,date_first_available,dimensions_(w_x_d_h),display_type,gpu/vpu,graphic_type,graphics_card,hdd,hdmi,keyboard,lcd_features,memory,memory_slot_(available),memory_slot_(total),memory_spec,model,number_of_cores,operating_system,optical_drive_type,other_features,panel,part_number,price,resolution,screen,screen_size,series,ssd,storage,storage_spec,style,touchscreen,turbo_frequency,type,usage,usb,video_memory,webcam,weight,wide_screen_support,wifi_generation,wlan,audio,battery_life,ethernet,lan,max_memory_supported,memory_speed,speaker,thunderbolt,optical_drive_spec,touchpad,package_content,parts,pointing_stick,communication,labor,package_type,memory_type,refresh_rate,virtual_reality_ready,optical_drive,other_port,smart_cache,docking_connector,video_port,software_included,service,chipset,cpu_support,accidental_damage_warranty,cpu_l2_cache,tech,hdd_interface,hdd_rpm,bezel_design,thunderbolt_3,optical_drive_interface,nfc_supported,laptop_name,graphics_card_score,cpu_score,cpu_type_speed,ram,storage_score,hdd_score,resolution_score,screen_size_score
1701,1701,,1 x Headphone/Microphone Combo Jack,Backlit,,Bluetooth 4.2,asus,Yes,Silver,,,,8MB Cache,2.10GHz,AMD Ryzen 5 5000 Series,"November 09, 2021",,,AMD Radeon Graphics,Integrated Card,,,1 x HDMI,Standard,,40GB,,,,,,Windows 11 Home,No,,,,323075.2,1920 x 1080,,"17.3""",VivoBook S17 S712,4 TB,,4TB SATA SSD,Thin and Light,No,4 GHz,work_business,,,,Yes,,,,802.11ac  Wireless LAN,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,VivoBook S17 S712,2500.0,13236.0,AMD Ryzen 5 5000 Series 2.10GHz,40.0,4096.0,,2073600,17.3
1702,1702,,1 x Headphone/Microphone Combo Jack,Backlit,,Bluetooth 4.2,asus,Yes,Silver,,,,8MB Cache,2.10GHz,AMD Ryzen 5 5000 Series,"November 09, 2021",,,AMD Radeon Graphics,Integrated Card,,,1 x HDMI,Standard,,8GB,,,,,,Windows 11 Pro,No,,,,209739.2,1920 x 1080,,"17.3""",VivoBook S17 S712,2 TB,,2TB SATA SSD,Thin and Light,No,4 GHz,work_business,,,,Yes,,,,802.11ac  Wireless LAN,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,VivoBook S17 S712,2500.0,13236.0,AMD Ryzen 5 5000 Series 2.10GHz,8.0,2048.0,,2073600,17.3
1703,1703,,1 x Headphone/Microphone Combo Jack,Backlit,,Bluetooth 4.2,asus,Yes,Silver,,,,8MB Cache,2.10GHz,AMD Ryzen 5 5000 Series,"November 09, 2021",,,AMD Radeon Graphics,Integrated Card,,,1 x HDMI,Standard,,8GB,,,,,,Windows 11 Home,No,,,,192950.4,1920 x 1080,,"17.3""",VivoBook S17 S712,2 TB,,2TB SATA SSD,Thin and Light,No,4 GHz,work_business,,,,Yes,,,,802.11ac  Wireless LAN,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,VivoBook S17 S712,2500.0,13236.0,AMD Ryzen 5 5000 Series 2.10GHz,8.0,2048.0,,2073600,17.3
1704,1704,,1 x Headphone/Microphone Combo Jack,Backlit,,Bluetooth 4.2,asus,Yes,Silver,,,,8MB Cache,2.10GHz,AMD Ryzen 5 5000 Series,"November 09, 2021",,,AMD Radeon Graphics,Integrated Card,,,1 x HDMI,Standard,,16GB,,,,,,Windows 11 Home,No,,,,272704.0,1920 x 1080,,"17.3""",VivoBook S17 S712,4 TB,,4TB SATA SSD,Thin and Light,No,4 GHz,work_business,,,,Yes,,,,802.11ac  Wireless LAN,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,VivoBook S17 S712,2500.0,13236.0,AMD Ryzen 5 5000 Series 2.10GHz,16.0,4096.0,,2073600,17.3
1705,1705,,1 x Headphone/Microphone Combo Jack,Backlit,,Bluetooth 4.2,asus,Yes,Silver,,,,8MB Cache,2.10GHz,AMD Ryzen 5 5000 Series,"November 09, 2021",,,AMD Radeon Graphics,Integrated Card,,,1 x HDMI,Standard,,16GB,,,,,,Windows 11 Pro,No,,,,226529.6,1920 x 1080,,"17.3""",VivoBook S17 S712,2 TB,,2TB SATA SSD,Thin and Light,No,4 GHz,work_business,,,,Yes,,,,802.11ac  Wireless LAN,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,VivoBook S17 S712,2500.0,13236.0,AMD Ryzen 5 5000 Series 2.10GHz,16.0,2048.0,,2073600,17.3
1706,1706,,1 x Headphone/Microphone Combo Jack,Backlit,,Bluetooth 4.2,asus,Yes,Silver,,,,8MB Cache,2.10GHz,AMD Ryzen 5 5000 Series,"November 09, 2021",,,AMD Radeon Graphics,Integrated Card,,,1 x HDMI,Standard,,40GB,,,,,,Windows 11 Pro,No,,,,276902.4,1920 x 1080,,"17.3""",VivoBook S17 S712,2 TB,,2TB SATA SSD,Thin and Light,No,4 GHz,work_business,,,,Yes,,,,802.11ac  Wireless LAN,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,VivoBook S17 S712,2500.0,13236.0,AMD Ryzen 5 5000 Series 2.10GHz,40.0,2048.0,,2073600,17.3
1707,1707,,1 x Headphone/Microphone Combo Jack,Backlit,,Bluetooth 4.2,asus,Yes,Silver,,,,8MB Cache,2.10GHz,AMD Ryzen 5 5000 Series,"November 09, 2021",,,AMD Radeon Graphics,Integrated Card,,,1 x HDMI,Standard,,16GB,,,,,,Windows 11 Home,No,,,,209739.2,1920 x 1080,,"17.3""",VivoBook S17 S712,2 TB,,2TB SATA SSD,Thin and Light,No,4 GHz,work_business,,,,Yes,,,,802.11ac  Wireless LAN,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,VivoBook S17 S712,2500.0,13236.0,AMD Ryzen 5 5000 Series 2.10GHz,16.0,2048.0,,2073600,17.3
1708,1708,,1 x Headphone/Microphone Combo Jack,Backlit,,Bluetooth 5.1,lenovo,Yes,Black,,,,16MB Cache,2.40GHz,Intel Core i9 10th Gen,"November 09, 2021",,,NVIDIA Quadro RTX 3000,Dedicated Card,,,1 x HDMI,Standard,,64GB,,,,,,Windows 11 Pro,No,,,,610068.8,3840 x 2160,,"17.3""",ThinkPad P17,4 TB,,4TB PCIe SSD,Standard,No,5.3 GHz,work_business,,,,Yes,,,,Wi-Fi 6 AX201,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,ThinkPad P17,11239.0,16210.0,Intel Core i9 10th Gen 2.40GHz,64.0,4096.0,,8294400,17.3
1709,1709,,1 x Headphone/Microphone Combo Jack,Backlit,,Bluetooth 5.1,lenovo,Yes,Black,,,,16MB Cache,2.40GHz,Intel Core i9 10th Gen,"November 09, 2021",,,NVIDIA Quadro RTX 3000,Dedicated Card,,,1 x HDMI,Standard,,64GB,,,,,,Windows 11 Pro,No,,,,553958.4,3840 x 2160,,"17.3""",ThinkPad P17,2 TB,,2TB PCIe SSD,Standard,No,5.3 GHz,work_business,,,,Yes,,,,Wi-Fi 6 AX201,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,ThinkPad P17,11239.0,16210.0,Intel Core i9 10th Gen 2.40GHz,64.0,2048.0,,8294400,17.3
1710,1710,,1 x Headphone/Microphone Combo Jack,Backlit,,Bluetooth 5.1,lenovo,Yes,Black,,,,16MB Cache,2.40GHz,Intel Core i9 10th Gen,"November 09, 2021",,,NVIDIA Quadro RTX 3000,Dedicated Card,,,1 x HDMI,Standard,,32GB,,,,,,Windows 11 Pro,No,,,,472596.8000000001,3840 x 2160,,"17.3""",ThinkPad P17,1 TB,,2x512GB PCIe SSD (1TB available storage),Standard,No,5.3 GHz,work_business,,,,Yes,,,,Wi-Fi 6 AX201,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,ThinkPad P17,11239.0,16210.0,Intel Core i9 10th Gen 2.40GHz,32.0,1024.0,,8294400,17.3
