,graphics_card_score,cpu_score,ram,storage_score,resolution_score,total
0,-0.8663643002396583,-0.6515407492431181,-1.0139866868579606,-0.5902222964379814,-0.3637415439195001,-3.4858555766982184
1,-0.8738391170369582,-0.6515407492431181,-0.5941913352532643,-0.5902222964379814,-0.3637415439195001,-3.073535041890822
2,-0.8738391170369582,-0.6375969507515648,-0.5941913352532643,-0.6670739340714501,-0.3637415439195001,-3.1364428810327376
3,-0.8738391170369582,-0.6515407492431181,-0.8040890110556124,-0.5902222964379814,-0.3637415439195001,-3.28343271769317
4,-0.9389487054555438,0.3141092956899987,-0.5941913352532643,-0.5902222964379814,-0.3637415439195001,-2.172994585376291
5,-0.8738391170369582,-0.7283156397327553,-1.0139866868579606,-0.6670739340714501,-0.3637415439195001,-3.6469569216186244
6,-0.0600676146572343,-0.6515407492431181,-0.5941913352532643,-0.4365190211710442,-0.3637415439195001,-2.106060264244161
7,0.3587188316967497,0.2390143809222354,-0.5941913352532643,-0.5902222964379814,-0.3637415439195001,-0.9504219629917607
8,-0.9389487054555438,0.3141092956899987,-0.5941913352532643,-0.5902222964379814,-0.3637415439195001,-2.172994585376291
9,1.46794230327501,1.19643254481817,0.2453993679561279,-0.4365190211710442,-0.3637415439195001,2.1095136509587635
10,-1.226139035036012,-1.371578343638271,-1.0139866868579606,-0.6670739340714501,-0.3637415439195001,-4.642519543523193
11,-0.0600676146572343,-0.6515407492431181,-0.5941913352532643,-0.5902222964379814,-0.3637415439195001,-2.2597635395110984
12,-0.0600676146572343,-0.6515407492431181,-0.5941913352532643,0.4857006304305795,-0.3637415439195001,-1.1838406126425371
13,0.3587188316967497,0.2390143809222354,-1.0139866868579606,-0.6670739340714501,-0.3637415439195001,-1.4470689522299258
14,1.46794230327501,1.19643254481817,1.9245807743749124,1.7153268325660778,-0.3637415439195001,5.94054091111467
15,-0.0600676146572343,-0.9667041946666614,-1.0139866868579606,-0.5902222964379814,-0.3637415439195001,-2.9947223365393376
16,-0.8738391170369582,-0.7283156397327553,-0.8040890110556124,-0.5902222964379814,-0.3637415439195001,-3.3602076081828076
17,-0.0600676146572343,-0.9667041946666614,-1.0139866868579606,-0.7009967272455984,-0.3637415439195001,-3.1054967673469545
18,-1.3166236594243783,-1.9397461327760237,-0.5941913352532643,-0.5902222964379814,-0.8608157051198444,-5.3015991290114926
19,-1.3166236594243783,-1.9397461327760237,-0.5941913352532643,-0.6670739340714501,-0.8608157051198444,-5.37845076664496
20,-0.0600676146572343,-0.2313788212024561,-1.0139866868579606,-0.5902222964379814,-0.3637415439195001,-2.2593969630751327
21,-0.0600676146572343,-0.2313788212024561,-0.5941913352532643,-0.5902222964379814,-0.3637415439195001,-1.839601611470436
22,-1.226139035036012,-1.5674635128087675,-1.0139866868579606,-0.6670739340714501,-0.8608157051198444,-5.335478873894035
23,1.0153224756279844,1.19643254481817,-0.5941913352532643,-0.5902222964379814,-0.3637415439195001,0.6635998448354085
24,-0.8738391170369582,-0.7283156397327553,-0.8040890110556124,-0.5902222964379814,-0.3637415439195001,-3.3602076081828076
25,1.0153224756279844,1.19643254481817,-0.5941913352532643,-0.5902222964379814,-0.3637415439195001,0.6635998448354085
